year,month,count
1990,1,11
1990,2,9
1990,3,10
1990,4,8
1990,5,16
1990,6,17
1990,7,23
1990,8,13
1990,9,11
1990,10,0
1990,11,7
1990,12,7
1991,1,6
1991,2,10
1991,3,9
1991,4,7
1991,5,7
1991,6,9
1991,7,19
1991,8,6
1991,9,8
1991,10,5
1991,11,5
1991,12,8
1992,1,8
1992,2,9
1992,3,6
1992,4,10
1992,5,8
1992,6,7
1992,7,15
1992,8,14
1992,9,10
1992,10,10
1992,11,8
1992,12,10
1993,1,4
1993,2,8
1993,3,7
1993,4,8
1993,5,8
1993,6,13
1993,7,16
1993,8,17
1993,9,8
1993,10,3
1993,11,11
1993,12,6
1994,1,8
1994,2,4
1994,3,5
1994,4,3
1994,5,12
1994,6,6
1994,7,10
1994,8,11
1994,9,10
1994,10,11
1994,11,9
1994,12,9
1995,1,7
1995,2,4
1995,3,10
1995,4,9
1995,5,5
1995,6,10
1995,7,18
1995,8,19
1995,9,12
1995,10,5
1995,11,7
1995,12,5
1996,1,7
1996,2,3
1996,3,10
1996,4,6
1996,5,8
1996,6,13
1996,7,16
1996,8,13
1996,9,5
1996,10,4
1996,11,13
1996,12,4
1997,1,8
1997,2,4
1997,3,6
1997,4,8
1997,5,16
1997,6,8
1997,7,12
1997,8,9
1997,9,8
1997,10,8
1997,11,9
1997,12,6
1998,1,9
1998,2,8
1998,3,4
1998,4,11
1998,5,9
1998,6,12
1998,7,17
1998,8,21
1998,9,10
1998,10,6
1998,11,9
1998,12,3
1999,1,6
1999,2,3
1999,3,5
1999,4,7
1999,5,9
1999,6,8
1999,7,14
1999,8,13
1999,9,11
1999,10,8
1999,11,7
1999,12,6
2000,1,10
2000,2,3
2000,3,6
2000,4,9
2000,5,8
2000,6,9
2000,7,10
2000,8,16
2000,9,12
2000,10,7
2000,11,5
2000,12,10
2001,1,8
2001,2,8
2001,3,5
2001,4,4
2001,5,7
2001,6,13
2001,7,14
2001,8,10
2001,9,4
2001,10,6
2001,11,6
2001,12,6
2002,1,9
2002,2,2
2002,3,6
2002,4,7
2002,5,9
2002,6,8
2002,7,14
2002,8,20
2002,9,10
2002,10,11
2002,11,4
2002,12,7
2003,1,6
2003,2,9
2003,3,10
2003,4,11
2003,5,5
2003,6,12
2003,7,20
2003,8,20
2003,9,10
2003,10,7
2003,11,12
2003,12,6
2004,1,5
2004,2,6
2004,3,5
2004,4,7
2004,5,13
2004,6,7
2004,7,19
2004,8,10
2004,9,12
2004,10,2
2004,11,10
2004,12,4
2005,1,4
2005,2,4
2005,3,6
2005,4,8
2005,5,8
2005,6,10
2005,7,13
2005,8,18
2005,9,11
2005,10,6
2005,11,8
2005,12,9
2006,1,4
2006,2,7
2006,3,6
2006,4,9
2006,5,8
2006,6,12
2006,7,25
2006,8,10
2006,9,6
2006,10,4
2006,11,10
2006,12,7
2007,1,5
2007,2,3
2007,3,14
2007,4,9
2007,5,9
2007,6,12
2007,7,15
2007,8,19
2007,9,20
2007,10,7
2007,11,8
2007,12,11
2008,1,3
2008,2,3
2008,3,10
2008,4,12
2008,5,8
2008,6,11
2008,7,19
2008,8,13
2008,9,7
2008,10,5
2008,11,6
2008,12,13
2009,1,3
2009,2,7
2009,3,8
2009,4,7
2009,5,9
2009,6,11
2009,7,20
2009,8,14
2009,9,6
2009,10,8
2009,11,10
2009,12,10
2010,1,8
2010,2,8
2010,3,12
2010,4,11
2010,5,12
2010,6,10
2010,7,17
2010,8,24
2010,9,13
2010,10,5
2010,11,7
2010,12,9
2011,1,5
2011,2,3
2011,3,4
2011,4,9
2011,5,9
2011,6,14
2011,7,21
2011,8,17
2011,9,4
2011,10,5
2011,11,11
2011,12,6
2012,1,6
2012,2,4
2012,3,8
2012,4,8
2012,5,7
2012,6,4
2012,7,17
2012,8,16
2012,9,11
2012,10,6
2012,11,13
2012,12,10
2013,1,7
2013,2,8
2013,3,8
2013,4,15
2013,5,10
2013,6,9
2013,7,25
2013,8,12
2013,9,9
2013,10,4
2013,11,12
2013,12,9
2014,1,2
2014,2,5
2014,3,5
2014,4,6
2014,5,5
2014,6,9
2014,7,11
2014,8,12
2014,9,16
2014,10,7
2014,11,6
2014,12,9
2015,1,3
2015,2,7
2015,3,7
2015,4,4
2015,5,11
2015,6,6
2015,7,11
2015,8,14
2015,9,10
2015,10,4
2015,11,7
2015,12,14
2016,1,4
2016,2,4
2016,3,8
2016,4,5
2016,5,10
2016,6,9
2016,7,8
2016,8,17
2016,9,11
2016,10,7
2016,11,9
2016,12,11
2017,1,5
2017,2,8
2017,3,5
2017,4,5
2017,5,9
2017,6,5
2017,7,7
2017,8,20
2017,9,14
2017,10,5
2017,11,6
2017,12,8
2018,1,6
2018,2,7
2018,3,4
2018,4,9
2018,5,11
2018,6,11
2018,7,10
2018,8,9
2018,9,15
2018,10,11
2018,11,6
2018,12,6
2019,1,7
2019,2,0
2019,3,6
2019,4,5
2019,5,9
2019,6,3
2019,7,10
2019,8,16
2019,9,13
2019,10,10
2019,11,6
2019,12,7
2020,1,8
2020,2,6
2020,3,10
2020,4,5
2020,5,3
2020,6,12
2020,7,11
2020,8,16
2020,9,19
2020,10,11
2020,11,0
2020,12,9
2021,1,9
2021,2,9
2021,3,5
2021,4,9
2021,5,9
2021,6,17
2021,7,13
2021,8,8
2021,9,13
2021,10,8
2021,11,11
2021,12,6
2022,1,0
2022,2,7
2022,3,5
2022,4,9
2022,5,7
2022,6,5
2022,7,12
2022,8,14
2022,9,19
2022,10,8
2022,11,5
2022,12,5
